date,year,month,NDVI,GPP,EVI,LAI,NDVI_smoothed,GPP_smoothed,EVI_smoothed,LAI_smoothed
2007-06-01,2007.0,6.0,0.644715955882353,3.2374987671367996e-05,0.3728246139705882,2.0501407022021527,0.6342251225490176,3.237498767136802e-05,0.3624981856179962,1.949989910888598
2007-07-01,2007.0,7.0,0.7454473253676469,3.2374987671367996e-05,0.4087591222426471,2.443256928765419,0.727420998555672,3.237498767136802e-05,0.4103111987920167,2.3982868117525036
2007-08-01,2007.0,8.0,0.6885481985294118,3.2374987671367996e-05,0.3837975137867645,2.4673120971172415,0.7049538248424388,3.237498767136802e-05,0.3783223247111357,2.234733148846732
2007-09-01,2007.0,9.0,0.646156613051471,3.2374987671367996e-05,0.317559278492647,1.6403913484506407,0.6031791787027342,3.237498767136802e-05,0.3022409965861362,1.6225276613050363
2007-10-01,2007.0,10.0,0.4430491360294122,3.2374987671367996e-05,0.1993481158088234,0.6924337118113498,0.4560394456845273,3.237498767136802e-05,0.20658973870798503,0.9349785856338454
2007-11-01,2007.0,11.0,0.291160174632353,3.2374987671367996e-05,0.1024280974264705,0.3479483655639539,0.3262569170168097,3.237498767136802e-05,0.12608531972164025,0.41961241451524306
2007-12-01,2007.0,12.0,0.2331540670955881,3.2374987671367996e-05,0.0813201148897058,0.3207339419521611,0.23409021774334965,3.237498767136802e-05,0.08071924873074345,0.24711556590176997
2008-01-01,2008.0,1.0,0.2113142325367646,3.2374987671367996e-05,0.0774055974264706,0.3100741140669479,0.19460864036239542,3.237498767136802e-05,0.06329572194502811,0.2517598552569595
2008-02-01,2008.0,2.0,0.2196306617647059,3.2374987671367996e-05,0.0852569761029412,0.3097779850135795,0.1934041423756988,3.237498767136802e-05,0.06659849374124524,0.22677187908855012
2008-03-01,2008.0,3.0,0.2133782536764705,3.2374987671367996e-05,0.085917734375,0.3648489905435029,0.2678399459471264,3.237498767136802e-05,0.12541993653711306,0.4712331387186488
2008-04-01,2008.0,4.0,0.3683217830882352,3.2374987671367996e-05,0.1892164154411765,0.710079022283302,0.4037573995535687,3.237498767136802e-05,0.22315011248249114,0.9733392699378627
2008-05-01,2008.0,5.0,0.6230948805147055,3.2374987671367996e-05,0.3924619255514703,1.9261586117382716,0.5644661355479665,3.237498767136802e-05,0.3381962872023793,1.7672416031844613
2008-06-01,2008.0,6.0,0.7168213924632355,3.2374987671367996e-05,0.4307040808823531,2.42220967900265,0.7102463294380236,3.237498767136802e-05,0.43121403120623153,2.429324995598182
2008-07-01,2008.0,7.0,0.752456796875,3.2374987671367996e-05,0.4508562408088232,2.926144432446583,0.776078398328082,3.237498767136802e-05,0.45748956845238153,2.664518036526481
2008-08-01,2008.0,8.0,0.7384890992647063,3.2374987671367996e-05,0.4022211994485296,2.2090965609764077,0.707522376137958,3.237498767136802e-05,0.38687443058473586,2.23438263987249
2008-09-01,2008.0,9.0,0.6247815165441177,3.2374987671367996e-05,0.3109101424632353,1.5406449396289374,0.5759249853378884,3.237498767136802e-05,0.2866557171306044,1.5356990157078632
2008-10-01,2008.0,10.0,0.3541998943014707,3.2374987671367996e-05,0.1389739016544119,0.6481111547397005,0.4196146330094571,3.237498767136802e-05,0.18044183976715905,0.8103233813403773
2008-11-01,2008.0,11.0,0.2708788878676471,3.2374987671367996e-05,0.092946875,0.3505109998582067,0.2893932989758433,3.237498767136802e-05,0.10563355282738267,0.4211147442299987
2008-12-01,2008.0,12.0,0.2357720772058825,3.2374987671367996e-05,0.0868863648897058,0.3318142403717156,0.2225237187062346,3.237498767136802e-05,0.07395632484243805,0.2575714301295981
2009-01-01,2009.0,1.0,0.2296621645220589,3.2374987671367996e-05,0.0861454963235294,0.3186831255521744,0.2131845971200984,3.237498767136802e-05,0.07608567292542007,0.285777287475531
2009-02-01,2009.0,2.0,0.2225388051470588,3.2374987671367996e-05,0.0871048161764706,0.3247554072183501,0.2064578562675057,3.237498767136802e-05,0.0749264920343126,0.24878002257259627
2009-03-01,2009.0,3.0,0.2306529136029412,3.2374987671367996e-05,0.0930459145220587,0.3830871044795654,0.2712541784838917,3.237498767136802e-05,0.12042627232142708,0.41904656728696316
2009-04-01,2009.0,4.0,0.3384097610294116,3.2374987671367996e-05,0.164598497242647,0.536724365476697,0.375598376225488,3.237498767136802e-05,0.1952069347426453,0.8374342000360353
2009-05-01,2009.0,5.0,0.5824174310661769,3.2374987671367996e-05,0.3399933409926469,1.5820612872615405,0.5144575203518886,3.237498767136802e-05,0.2929307236957268,1.3635343286884352
2009-06-01,2009.0,6.0,0.6243093382352944,3.2374987671367996e-05,0.3686166727941178,2.0445576060992754,0.6552130786064414,3.237498767136802e-05,0.3864288187149853,2.0295342570128994
2009-07-01,2009.0,7.0,0.7204722977941178,3.2374987671367996e-05,0.4229764292279415,2.2162077484375513,0.7329904672181383,3.237498767136802e-05,0.42205842480742356,2.3871430960613265
2009-08-01,2009.0,8.0,0.7289633547794119,3.2374987671367996e-05,0.4007783042279408,2.5381368410719536,0.6732323349965013,3.237498767136802e-05,0.36271762145483355,2.082490016064679
2009-09-01,2009.0,9.0,0.5844213051470589,3.2374987671367996e-05,0.2765843566176469,1.469853735152646,0.5394007845325659,3.237498767136802e-05,0.2697425774684892,1.4862305833298384
2009-10-01,2009.0,10.0,0.2969195588235294,3.2374987671367996e-05,0.1172570220588236,0.4809561205457935,0.37457561974790266,3.237498767136802e-05,0.16356836134453978,0.8289582427650669
2009-11-01,2009.0,11.0,0.1965389476102941,3.2374987671367996e-05,0.0816885983455882,0.2817275285494586,0.22558606617647362,3.237498767136802e-05,0.08603914478291491,0.2969865888831352
2009-12-01,2009.0,12.0,0.2106226011029413,3.2374987671367996e-05,0.0782350321691176,0.2986911423055527,0.16293829831932968,3.237498767136802e-05,0.061594689250701225,0.19647886116915803
2010-01-01,2010.0,1.0,0.1379618428308822,3.2374987671367996e-05,0.0632942233455882,0.273062890612218,0.1663969463410368,3.237498767136802e-05,0.06856035626750712,0.2642910639818471
2010-02-01,2010.0,2.0,0.1964704687499999,3.2374987671367996e-05,0.0780148023897058,0.2828670527796866,0.1470611887254886,3.237498767136802e-05,0.04978710018382236,0.21886772902282486
2010-03-01,2010.0,3.0,0.1854930790441177,3.2374987671367996e-05,0.0783502205882353,0.3226432381139361,0.1974925455182047,3.237498767136802e-05,0.08243831013655267,0.19824877956809678
2010-04-01,2010.0,4.0,0.2331062040441177,3.2374987671367996e-05,0.0931967509191176,0.3509385600383929,0.3479947842261876,3.237498767136802e-05,0.18815530659138477,0.7248840076806972
2010-05-01,2010.0,5.0,0.5829231847426471,3.2374987671367996e-05,0.3506796645220588,1.1717589411341254,0.5163347859768885,3.237498767136802e-05,0.2974347818189761,1.4580119230703203
2010-06-01,2010.0,6.0,0.7349890073529413,3.2374987671367996e-05,0.4649839751838235,2.8175975917018397,0.6719492590161046,3.237498767136802e-05,0.39823367471988685,2.1437456468795353
2010-07-01,2010.0,7.0,0.7264026424632356,3.2374987671367996e-05,0.3888515073529414,2.477843493341187,0.7647823916754202,3.237498767136802e-05,0.4500729181985295,2.5938051297872624
2010-08-01,2010.0,8.0,0.6943746415441179,3.2374987671367996e-05,0.4016435845588235,2.2155026013546673,0.7068842283788539,3.237498767136802e-05,0.38506468946953953,2.3252738473092913
